,FSU,State,Sector,Sample HHID,Level,filler,InformantSI no,Response code,Survey code,Casualty code,Filler,Date of Survey,Date of despatch,Time to canvass,No of investigators,NSC
662,TUS20124,1,2,01,01,0,01,1,1,0,0,140619,030719,090,2,004
663,TUS20124,1,2,02,01,0,03,1,1,0,0,190619,030719,090,1,004
664,TUS20124,1,2,03,01,0,03,1,1,0,0,180619,030719,090,1,004
665,TUS20124,1,2,04,01,0,03,1,1,0,0,170619,030719,090,1,004
666,TUS20124,1,2,05,01,0,02,1,1,0,0,190619,030719,090,1,004
667,TUS20124,1,2,06,01,0,01,1,1,0,0,140619,030719,090,2,004
668,TUS20124,1,2,07,01,0,04,1,1,0,0,130619,030719,090,2,004
669,TUS20124,1,2,08,01,0,01,1,1,0,0,160619,030719,090,1,004
670,TUS20124,1,2,09,01,0,01,1,1,0,0,150619,030719,060,1,004
671,TUS20124,1,2,10,01,0,02,1,1,0,0,130619,030719,090,2,004
672,TUS20124,1,2,11,01,0,01,1,1,0,0,170619,030719,090,1,004
673,TUS20124,1,2,12,01,0,01,1,1,0,0,150619,030719,090,1,004
674,TUS20124,1,2,13,01,0,02,1,1,0,0,160619,030719,090,1,004
675,TUS20124,1,2,14,01,0,99,1,1,0,0,180619,030719,090,1,004
676,TUS20275,1,2,01,01,0,01,1,1,0,0,010319,180319,090,2,004
677,TUS20275,1,2,02,01,0,01,1,1,0,0,240219,180319,140,2,004
678,TUS20275,1,2,03,01,0,01,1,1,0,0,270219,180319,232,2,004
679,TUS20275,1,2,04,01,0,01,1,1,0,0,240219,180319,120,2,004
680,TUS20275,1,2,05,01,0,01,1,1,0,0,010319,180319,155,2,004
681,TUS20275,1,2,06,01,0,02,1,1,0,0,260219,180319,280,2,004
682,TUS20275,1,2,07,01,0,03,1,1,0,0,020319,180319,240,2,004
683,TUS20275,1,2,08,01,0,01,1,1,0,0,280219,180319,245,2,004
684,TUS20275,1,2,09,01,0,02,1,1,0,0,250219,180319,220,2,004
685,TUS20275,1,2,10,01,0,02,1,1,0,0,260219,180319,120,2,004
686,TUS20275,1,2,11,01,0,01,1,1,0,0,280219,180319,120,2,004
687,TUS20275,1,2,12,01,0,01,1,1,0,0,260219,180319,060,2,004
688,TUS20275,1,2,13,01,0,01,1,1,0,0,020319,180319,060,2,004
689,TUS20275,1,2,14,01,0,01,1,1,0,0,270219,180319,230,2,004
690,TUS20639,1,2,01,01,0,01,1,1,0,0,210619,220719,055,2,004
691,TUS20639,1,2,02,01,0,01,1,1,0,0,210619,220719,130,2,004
692,TUS20639,1,2,03,01,0,04,1,1,0,0,270619,220719,220,2,004
693,TUS20639,1,2,04,01,0,01,2,1,0,0,220419,220719,060,2,004
694,TUS20639,1,2,05,01,0,01,3,1,0,0,260619,220719,190,2,004
695,TUS20639,1,2,06,01,0,04,1,1,0,0,250619,220719,180,2,004
696,TUS20639,1,2,07,01,0,99,2,1,0,0,220619,220719,175,2,004
697,TUS20639,1,2,08,01,0,03,1,1,0,0,250619,220719,200,2,004
698,TUS20639,1,2,09,01,0,02,2,1,0,0,260619,220719,170,2,004
699,TUS20639,1,2,10,01,0,02,1,1,0,0,270619,220719,170,2,004
700,TUS20639,1,2,11,01,0,03,1,1,0,0,240619,220719,160,2,004
701,TUS20639,1,2,12,01,0,02,1,1,0,0,240619,220719,150,2,004
702,TUS20639,1,2,13,01,0,02,1,1,0,0,230619,220719,170,2,004
703,TUS20639,1,2,14,01,0,02,1,1,0,0,230619,220719,110,2,004
704,TUS20705,1,2,01,01,0,01,1,1,0,0,180719,100819,180,1,004
705,TUS20705,1,2,02,01,0,01,1,2,3,0,200719,100819,060,1,004
