,FSU,Sector,NSS-region,State,District,Stratum,Sub-stratum,Sample HHID,PersonID,day of the week,Type of the day,response code
2616,20124,2,11,1,07,02,01,1,1,4,1,1
2617,20124,2,11,1,07,02,01,1,2,4,1,1
2618,20124,2,11,1,07,02,01,2,1,2,1,1
2619,20124,2,11,1,07,02,01,2,2,2,1,1
2620,20124,2,11,1,07,02,01,2,3,2,1,1
2621,20124,2,11,1,07,02,01,2,4,2,1,1
2622,20124,2,11,1,07,02,01,3,1,1,1,1
2623,20124,2,11,1,07,02,01,3,2,1,1,1
2624,20124,2,11,1,07,02,01,3,3,1,2,1
2625,20124,2,11,1,07,02,01,3,4,1,2,1
2626,20124,2,11,1,07,02,01,4,1,7,1,1
2627,20124,2,11,1,07,02,01,4,2,7,2,1
2628,20124,2,11,1,07,02,01,4,3,7,2,1
2629,20124,2,11,1,07,02,01,5,1,2,1,1
2630,20124,2,11,1,07,02,01,5,2,2,2,1
2631,20124,2,11,1,07,02,01,5,3,2,2,1
2632,20124,2,11,1,07,02,01,6,1,4,2,1
2633,20124,2,11,1,07,02,01,6,2,4,2,1
2634,20124,2,11,1,07,02,01,6,3,4,1,1
2635,20124,2,11,1,07,02,01,6,4,4,2,1
2636,20124,2,11,1,07,02,01,7,1,3,1,1
2637,20124,2,11,1,07,02,01,7,2,3,2,1
2638,20124,2,11,1,07,02,01,7,3,3,1,1
2639,20124,2,11,1,07,02,01,7,4,3,2,1
2640,20124,2,11,1,07,02,01,8,1,1,1,1
2641,20124,2,11,1,07,02,01,8,2,1,2,1
2642,20124,2,11,1,07,02,01,8,3,1,2,1
2643,20124,2,11,1,07,02,01,9,1,5,1,1
2644,20124,2,11,1,07,02,01,10,1,3,1,1
2645,20124,2,11,1,07,02,01,10,2,3,2,1
2646,20124,2,11,1,07,02,01,10,3,3,2,1
2647,20124,2,11,1,07,02,01,10,4,3,2,1
2648,20124,2,11,1,07,02,01,11,1,7,1,1
2649,20124,2,11,1,07,02,01,11,2,7,1,1
2650,20124,2,11,1,07,02,01,11,3,7,1,1
2651,20124,2,11,1,07,02,01,11,4,7,1,1
2652,20124,2,11,1,07,02,01,12,1,5,1,1
2653,20124,2,11,1,07,02,01,12,2,5,1,1
2654,20124,2,11,1,07,02,01,12,3,5,1,1
2655,20124,2,11,1,07,02,01,12,4,5,2,1
2656,20124,2,11,1,07,02,01,12,5,5,1,1
2657,20124,2,11,1,07,02,01,13,1,6,1,1
2658,20124,2,11,1,07,02,01,13,2,6,1,1
2659,20124,2,11,1,07,02,01,13,3,6,2,1
2660,20124,2,11,1,07,02,01,13,4,6,2,1
2661,20124,2,11,1,07,02,01,14,1,1,1,1
2662,20124,2,11,1,07,02,01,14,2,1,2,1
2663,20124,2,11,1,07,02,01,14,3,1,2,1
2664,20275,2,11,1,07,02,01,1,1,4,1,1
2665,20275,2,11,1,07,02,01,1,2,4,1,1
2666,20275,2,11,1,07,02,01,1,3,4,1,1
2667,20275,2,11,1,07,02,01,2,1,6,2,1
2668,20275,2,11,1,07,02,01,2,2,6,1,1
2669,20275,2,11,1,07,02,01,2,3,6,1,1
2670,20275,2,11,1,07,02,01,3,1,2,1,1
2671,20275,2,11,1,07,02,01,3,2,2,1,1
2672,20275,2,11,1,07,02,01,3,3,2,1,1
2673,20275,2,11,1,07,02,01,3,4,2,1,1
2674,20275,2,11,1,07,02,01,4,1,6,1,1
2675,20275,2,11,1,07,02,01,4,2,6,1,1
2676,20275,2,11,1,07,02,01,4,3,6,1,1
2677,20275,2,11,1,07,02,01,5,1,4,1,1
2678,20275,2,11,1,07,02,01,5,2,4,1,1
2679,20275,2,11,1,07,02,01,6,1,1,1,1
2680,20275,2,11,1,07,02,01,6,2,1,1,1
2681,20275,2,11,1,07,02,01,6,3,1,1,1
2682,20275,2,11,1,07,02,01,6,4,1,1,1
2683,20275,2,11,1,07,02,01,6,5,1,1,1
2684,20275,2,11,1,07,02,01,6,6,1,1,1
2685,20275,2,11,1,07,02,01,6,7,1,1,1
2686,20275,2,11,1,07,02,01,6,8,1,1,1
2687,20275,2,11,1,07,02,01,7,1,5,1,1
2688,20275,2,11,1,07,02,01,7,2,5,1,1
2689,20275,2,11,1,07,02,01,7,3,5,1,1
2690,20275,2,11,1,07,02,01,7,4,5,1,1
2691,20275,2,11,1,07,02,01,8,1,3,1,1
2692,20275,2,11,1,07,02,01,8,2,3,1,1
2693,20275,2,11,1,07,02,01,8,3,3,1,1
2694,20275,2,11,1,07,02,01,8,4,3,1,1
2695,20275,2,11,1,07,02,01,8,5,3,1,1
2696,20275,2,11,1,07,02,01,9,1,7,1,1
2697,20275,2,11,1,07,02,01,9,2,7,1,1
2698,20275,2,11,1,07,02,01,9,3,7,1,1
