,FSU,Sector,State,NSS-region,District,Stratum,Sub-stratum,Sample HHID,PersonID,Serial no of Activity,Time from,Time to,Multi-activity,Simul-activity,Major-activity,Activity code,Where,Paid-unpaid,Type of enterprise,NSC
50854,20124,2,01,011,07,02,01,01,001,001,04:00,07:00,2,0,1,911,1,01,0,000
50855,20124,2,01,011,07,02,01,01,001,002,07:00,07:30,2,0,1,931,1,01,0,000
50856,20124,2,01,011,07,02,01,01,001,003,07:30,08:30,1,2,1,311,1,03,0,000
50857,20124,2,01,011,07,02,01,01,001,004,07:30,08:30,0,0,2,921,1,01,0,000
50858,20124,2,01,011,07,02,01,01,001,005,08:30,09:00,2,0,1,182,2,01,0,000
50859,20124,2,01,011,07,02,01,01,001,006,09:00,13:00,2,0,1,128,2,17,1,000
50860,20124,2,01,011,07,02,01,01,001,007,13:00,14:00,1,2,1,921,2,01,0,000
50861,20124,2,01,011,07,02,01,01,001,008,13:00,14:00,0,0,2,142,2,17,1,000
50862,20124,2,01,011,07,02,01,01,001,009,14:00,18:00,2,0,1,128,2,17,1,000
50863,20124,2,01,011,07,02,01,01,001,010,18:00,19:00,1,2,1,182,2,01,0,000
50864,20124,2,01,011,07,02,01,01,001,011,18:00,19:00,0,0,2,371,2,03,0,000
50865,20124,2,01,011,07,02,01,01,001,012,19:00,20:00,1,2,1,321,1,03,0,000
50866,20124,2,01,011,07,02,01,01,001,013,19:00,20:00,0,0,2,322,1,03,0,000
50867,20124,2,01,011,07,02,01,01,001,014,19:00,20:00,0,0,2,313,1,03,0,000
50868,20124,2,01,011,07,02,01,01,001,015,20:00,21:00,1,2,1,311,1,03,0,000
50869,20124,2,01,011,07,02,01,01,001,016,20:00,21:00,0,0,2,921,1,01,0,000
50870,20124,2,01,011,07,02,01,01,001,017,21:00,22:00,2,0,1,842,1,01,0,000
50871,20124,2,01,011,07,02,01,01,001,018,22:00,04:00,2,0,1,911,1,01,0,000
50872,20124,2,01,011,07,02,01,01,002,001,04:00,07:00,2,0,1,911,1,01,0,000
50873,20124,2,01,011,07,02,01,01,002,002,07:00,07:30,2,0,1,931,1,01,0,000
50874,20124,2,01,011,07,02,01,01,002,003,07:30,08:30,1,2,1,842,1,01,0,000
50875,20124,2,01,011,07,02,01,01,002,004,07:30,08:30,0,0,2,921,1,01,0,000
50876,20124,2,01,011,07,02,01,01,002,005,08:30,09:00,2,0,1,182,2,01,0,000
50877,20124,2,01,011,07,02,01,01,002,006,09:00,13:00,2,0,1,128,2,17,1,000
50878,20124,2,01,011,07,02,01,01,002,007,13:00,14:00,1,2,1,921,2,01,0,000
50879,20124,2,01,011,07,02,01,01,002,008,13:00,14:00,0,0,2,142,2,17,1,000
50880,20124,2,01,011,07,02,01,01,002,009,14:00,18:00,2,0,1,128,2,17,1,000
50881,20124,2,01,011,07,02,01,01,002,010,18:00,19:00,1,2,1,182,2,01,0,000
50882,20124,2,01,011,07,02,01,01,002,011,18:00,19:00,0,0,2,371,2,03,0,000
50883,20124,2,01,011,07,02,01,01,002,012,19:00,20:00,1,2,1,931,1,01,0,000
50884,20124,2,01,011,07,02,01,01,002,013,19:00,20:00,0,0,2,842,1,01,0,000
50885,20124,2,01,011,07,02,01,01,002,014,20:00,21:00,1,2,1,719,1,01,0,000
