,FSU,Schedule,Survey Year,Sector,NSS-region,State,District,Stratum,Sub-stratum,Sub round,FOD sub region,Sample HHID,Level,Filler,HH size,Religion,Social group,Land Own,Monthly HH expenses A,Impute Home grown B,Wages in Kind C,HH durable spent D,Usual monthly expenses - ABCD,Cooking energy,lighting energy,Washing clothes,Sweeping floor,Dwelling structure,Care giver,NSC,Multiplier
662,TUS20124,106,2019,2,11,1,7,02,01,2,0110,01,3,0,2,1,3,3,8000,0,0,0,8000,2,1,2,2,3,0,004,0000027029
663,TUS20124,106,2019,2,11,1,7,02,01,2,0110,02,3,0,4,1,2,2,15000,0,0,0,15000,2,1,1,3,2,0,004,0000027029
664,TUS20124,106,2019,2,11,1,7,02,01,2,0110,03,3,0,4,1,9,2,20000,0,0,0,20000,2,1,1,2,3,0,004,0000027029
665,TUS20124,106,2019,2,11,1,7,02,01,2,0110,04,3,0,3,1,9,2,20000,0,0,0,20000,2,1,1,2,3,0,004,0000027029
666,TUS20124,106,2019,2,11,1,7,02,01,2,0110,05,3,0,3,1,9,1,15000,0,0,0,15000,2,1,1,2,3,0,004,0000027029
667,TUS20124,106,2019,2,11,1,7,02,01,2,0110,06,3,0,4,1,9,3,20000,0,0,12000,21000,2,1,1,2,3,0,004,0000027029
668,TUS20124,106,2019,2,11,1,7,02,01,2,0110,07,3,0,4,1,9,3,30000,0,0,5000,30417,2,1,1,1,3,0,004,0000027029
669,TUS20124,106,2019,2,11,1,7,02,01,2,0110,08,3,0,3,1,2,1,25000,0,0,0,25000,2,1,1,2,3,0,004,0000027029
670,TUS20124,106,2019,2,11,1,7,02,01,2,0110,09,3,0,1,1,3,1,3000,0,0,0,3000,2,1,2,2,3,0,004,0000027029
671,TUS20124,106,2019,2,11,1,7,02,01,2,0110,10,3,0,4,1,2,2,30000,1000,0,14500,32208,2,1,1,2,3,0,004,0000027029
672,TUS20124,106,2019,2,11,1,7,02,01,2,0110,11,3,0,4,1,9,2,30000,0,0,0,30000,2,1,1,2,3,1,004,0000027029
673,TUS20124,106,2019,2,11,1,7,02,01,2,0110,12,3,0,5,1,2,3,20000,0,0,15000,21250,2,1,1,2,3,0,004,0000027029
