,FSU,Sector,State,District,Stratum,Sub-stratum,Sample HHID,PersonID,RelationToHead,Gender,Age,MaritalStatus,Education,PrincipleActivity,Industry of work,NSC,Multiplier
399134,20006,2,27,25,5,4,1,1,1,1,30,2,6,31,41,4,358482
399135,20006,2,27,25,5,4,1,2,2,2,30,2,11,92,,4,358482
399136,20006,2,27,25,5,4,1,3,5,1,4,1,2,,,4,358482
399137,20006,2,27,25,5,4,1,4,5,2,6,1,2,91,,4,358482
399138,20006,2,27,25,5,4,2,1,1,2,40,2,5,31,97,4,358482
399139,20006,2,27,25,5,4,2,2,8,1,23,2,11,31,56,4,358482
399140,20006,2,27,25,5,4,2,3,3,2,22,2,11,31,82,4,358482
399141,20006,2,27,25,5,4,3,1,1,1,60,2,5,51,97,4,358482
399142,20006,2,27,25,5,4,3,2,2,2,45,2,5,51,97,4,358482
399143,20006,2,27,25,5,4,3,3,5,1,27,1,5,97,,4,358482
399144,20006,2,27,25,5,4,4,1,1,2,62,3,1,51,97,4,358482
399145,20006,2,27,25,5,4,4,2,3,1,46,2,3,31,41,4,358482
399146,20006,2,27,25,5,4,4,3,4,2,37,2,3,51,97,4,358482
399147,20006,2,27,25,5,4,4,4,6,1,16,1,5,91,,4,358482
399148,20006,2,27,25,5,4,4,5,6,1,14,1,5,91,,4,358482
399149,20006,2,27,25,5,4,4,6,6,1,10,1,3,91,,4,358482
399150,20006,2,27,25,5,4,4,7,6,2,11,1,1,95,,4,358482
399151,20006,2,27,25,5,4,5,1,1,2,19,1,7,31,82,4,358482
399152,20006,2,27,25,5,4,5,2,7,2,35,2,1,31,97,4,358482
399153,20006,2,27,25,5,4,6,1,1,1,30,2,5,51,41,4,358482
399154,20006,2,27,25,5,4,6,2,2,2,24,2,5,31,97,4,358482
399155,20006,2,27,25,5,4,6,3,7,2,50,3,1,92,,4,358482
399156,20006,2,27,25,5,4,6,4,5,1,8,1,2,91,,4,358482
399157,20006,2,27,25,5,4,6,5,5,1,5,1,2,,,4,358482
399158,20006,2,27,25,5,4,7,1,1,2,29,2,6,92,,4,358482
399159,20006,2,27,25,5,4,7,2,2,1,30,2,5,31,80,4,358482
399160,20006,2,27,25,5,4,7,3,5,1,2,1,1,,,4,358482
399161,20006,2,27,25,5,4,7,4,5,2,1,1,1,,,4,358482
399162,20006,2,27,25,5,4,8,1,1,1,33,2,12,51,41,4,358482
399163,20006,2,27,25,5,4,8,2,2,2,30,2,10,92,,4,358482
399164,20006,2,27,25,5,4,8,3,5,2,7,1,2,91,,4,358482
399165,20006,2,27,25,5,4,8,4,5,2,2,1,1,,,4,358482
399166,20006,2,27,25,5,4,9,1,1,1,35,1,6,31,87,4,358482
399167,20006,2,27,25,5,4,9,2,9,1,18,1,5,31,96,4,358482
399168,20006,2,27,25,5,4,9,3,9,1,18,1,5,31,96,4,358482
399169,20006,2,27,25,5,4,10,1,1,1,29,2,5,31,41,4,358482
399170,20006,2,27,25,5,4,10,2,2,2,27,2,7,91,,4,358482
399171,20006,2,27,25,5,4,10,3,5,2,1,1,1,,,4,358482
399172,20006,2,27,25,5,4,10,4,7,1,65,2,2,51,49,4,358482
399173,20006,2,27,25,5,4,10,5,7,2,55,2,1,51,47,4,358482
399174,20006,2,27,25,5,4,10,6,8,2,30,3,1,51,97,4,358482
399175,20006,2,27,25,5,4,11,1,1,1,35,2,1,51,41,4,358482
399176,20006,2,27,25,5,4,11,2,2,2,25,2,1,31,96,4,358482
399177,20006,2,27,25,5,4,11,3,5,1,5,1,2,,,4,358482
399178,20006,2,27,25,5,4,11,4,5,2,8,1,2,91,,4,358482
399179,20006,2,27,25,5,4,11,5,8,1,30,1,5,51,41,4,358482
399180,20006,2,27,25,5,4,12,1,1,2,35,2,1,31,97,4,358482
399181,20006,2,27,25,5,4,12,2,8,2,60,3,1,51,97,4,358482
399182,20006,2,27,25,5,4,12,3,5,1,10,1,3,91,,4,358482
399183,20006,2,27,25,5,4,12,4,5,2,12,1,3,91,,4,358482
