,FSU,Sector,State,District,Stratum,Sub-stratum,Sample HHID,PersonID,Day of the week,Type of the day,Response code,NSC,Multiplier
340626,20006,2,27,25,5,4,1,1,3,1,1,4,358482
340627,20006,2,27,25,5,4,1,2,3,1,1,4,358482
340628,20006,2,27,25,5,4,1,4,3,1,1,4,358482
340629,20006,2,27,25,5,4,2,1,2,1,1,4,358482
340630,20006,2,27,25,5,4,2,2,2,1,1,4,358482
340631,20006,2,27,25,5,4,2,3,2,1,1,4,358482
340632,20006,2,27,25,5,4,3,1,1,1,1,4,358482
340633,20006,2,27,25,5,4,3,2,1,1,1,4,358482
340634,20006,2,27,25,5,4,3,3,1,1,1,4,358482
340635,20006,2,27,25,5,4,4,1,3,1,1,4,358482
340636,20006,2,27,25,5,4,4,2,3,1,1,4,358482
340637,20006,2,27,25,5,4,4,3,3,1,1,4,358482
340638,20006,2,27,25,5,4,4,4,3,1,1,4,358482
340639,20006,2,27,25,5,4,4,5,3,1,1,4,358482
340640,20006,2,27,25,5,4,4,6,3,1,1,4,358482
340641,20006,2,27,25,5,4,4,7,3,1,1,4,358482
340642,20006,2,27,25,5,4,5,1,5,1,1,4,358482
340643,20006,2,27,25,5,4,5,2,5,1,1,4,358482
340644,20006,2,27,25,5,4,6,1,6,1,1,4,358482
340645,20006,2,27,25,5,4,6,2,6,1,1,4,358482
340646,20006,2,27,25,5,4,6,3,6,1,1,4,358482
340647,20006,2,27,25,5,4,6,4,6,1,1,4,358482
340648,20006,2,27,25,5,4,7,1,5,1,1,4,358482
340649,20006,2,27,25,5,4,7,2,5,1,1,4,358482
340650,20006,2,27,25,5,4,8,1,6,1,1,4,358482
340651,20006,2,27,25,5,4,8,2,6,1,1,4,358482
340652,20006,2,27,25,5,4,8,3,6,1,1,4,358482
340653,20006,2,27,25,5,4,9,1,7,2,2,4,358482
340654,20006,2,27,25,5,4,9,2,7,2,2,4,358482
340655,20006,2,27,25,5,4,9,3,7,2,2,4,358482
340656,20006,2,27,25,5,4,10,1,2,1,1,4,358482
340657,20006,2,27,25,5,4,10,2,2,1,1,4,358482
340658,20006,2,27,25,5,4,10,4,2,1,1,4,358482
340659,20006,2,27,25,5,4,10,5,2,1,1,4,358482
340660,20006,2,27,25,5,4,10,6,2,1,1,4,358482
340661,20006,2,27,25,5,4,11,1,7,2,1,4,358482
340662,20006,2,27,25,5,4,11,2,7,2,1,4,358482
340663,20006,2,27,25,5,4,11,4,7,2,1,4,358482
340664,20006,2,27,25,5,4,11,5,7,2,1,4,358482
340665,20006,2,27,25,5,4,12,1,4,1,1,4,358482
340666,20006,2,27,25,5,4,12,2,4,1,1,4,358482
340667,20006,2,27,25,5,4,12,3,4,1,1,4,358482
340668,20006,2,27,25,5,4,12,4,4,1,1,4,358482
340669,20006,2,27,25,5,4,13,1,4,1,1,4,358482
340670,20006,2,27,25,5,4,13,2,4,1,1,4,358482
340671,20006,2,27,25,5,4,13,3,4,1,1,4,358482
340672,20006,2,27,25,5,4,13,4,4,1,1,4,358482
340673,20006,2,27,25,5,4,14,1,1,1,1,4,358482
340674,20006,2,27,25,5,4,14,2,1,1,1,4,358482
340675,20006,2,27,25,5,4,14,3,1,1,1,4,358482
340676,20006,2,27,25,5,4,14,4,1,1,1,4,358482
340677,20006,2,27,25,5,4,14,5,1,1,1,4,358482
340678,20101,2,27,22,5,3,1,1,7,2,1,4,197493
340679,20101,2,27,22,5,3,1,2,7,2,1,4,197493
340680,20101,2,27,22,5,3,1,3,7,2,1,4,197493
340681,20101,2,27,22,5,3,2,1,7,2,1,4,197493
340682,20101,2,27,22,5,3,2,2,7,2,1,4,197493
340683,20101,2,27,22,5,3,2,3,7,2,1,4,197493
340684,20101,2,27,22,5,3,3,1,6,2,1,4,197493
340685,20101,2,27,22,5,3,3,2,6,2,1,4,197493
340686,20101,2,27,22,5,3,3,3,6,2,1,4,197493
340687,20101,2,27,22,5,3,4,1,3,1,1,4,197493
340688,20101,2,27,22,5,3,4,2,3,1,1,4,197493
340689,20101,2,27,22,5,3,4,3,3,1,1,4,197493
340690,20101,2,27,22,5,3,4,5,3,1,1,4,197493
340691,20101,2,27,22,5,3,5,1,4,1,1,4,197493
340692,20101,2,27,22,5,3,5,2,4,1,1,4,197493
340693,20101,2,27,22,5,3,6,1,6,2,1,4,197493
340694,20101,2,27,22,5,3,6,2,6,2,1,4,197493
340695,20101,2,27,22,5,3,6,3,6,2,1,4,197493
340696,20101,2,27,22,5,3,6,4,6,2,1,4,197493
340697,20101,2,27,22,5,3,6,5,6,2,1,4,197493
340698,20101,2,27,22,5,3,7,1,2,1,1,4,197493
340699,20101,2,27,22,5,3,7,2,2,1,1,4,197493
340700,20101,2,27,22,5,3,8,1,1,1,1,4,197493
340701,20101,2,27,22,5,3,8,2,1,1,1,4,197493
340702,20101,2,27,22,5,3,8,3,1,1,1,4,197493
