,FSU,Sector,State,District,Stratum,Sub-stratum,Sample HHID,InformantSI no,Response code,Survey code,Casualty code,Date of Survey,Date of despatch,Time to canvass,NSC,Multiplier
47396,10026,1,13,1,1,33,1,1.0,1,1,,250119.0,190219.0,80.0,4,30086
47397,10026,1,13,1,1,33,2,1.0,1,1,,230119.0,190219.0,60.0,4,30086
47398,10026,1,13,1,1,33,3,3.0,1,1,,240119.0,190219.0,75.0,4,30086
47399,10026,1,13,1,1,33,4,2.0,1,1,,270119.0,190219.0,60.0,4,30086
47400,10026,1,13,1,1,33,5,1.0,1,1,,240119.0,190219.0,60.0,4,30086
47401,10026,1,13,1,1,33,6,1.0,1,1,,210119.0,190219.0,90.0,4,30086
47402,10026,1,13,1,1,33,7,1.0,1,1,,260119.0,190219.0,75.0,4,30086
47403,10026,1,13,1,1,33,8,1.0,1,1,,210119.0,190219.0,90.0,4,30086
47404,10026,1,13,1,1,33,9,1.0,1,1,,220119.0,190219.0,140.0,4,30086
47405,10026,1,13,1,1,33,10,3.0,1,1,,220119.0,190219.0,150.0,4,30086
47406,10026,1,13,1,1,33,11,1.0,1,1,,270119.0,190219.0,45.0,4,30086
47407,10026,1,13,1,1,33,12,1.0,1,1,,250119.0,190219.0,52.0,4,30086
47408,10026,1,13,1,1,33,13,3.0,1,1,,230119.0,190219.0,90.0,4,30086
47409,10026,1,13,1,1,33,14,1.0,1,1,,260119.0,190219.0,95.0,4,30086
47410,10290,1,13,5,1,35,1,2.0,1,1,,100419.0,310519.0,120.0,4,70307
47411,10290,1,13,5,1,35,2,2.0,1,1,,100419.0,310519.0,80.0,4,70307
47412,10290,1,13,5,1,35,3,1.0,1,1,,110419.0,310519.0,60.0,4,70307
47413,10290,1,13,5,1,35,4,1.0,1,1,,110419.0,310519.0,90.0,4,70307
47414,10290,1,13,5,1,35,5,2.0,1,1,,120419.0,310519.0,80.0,4,70307
47415,10290,1,13,5,1,35,6,1.0,1,1,,120419.0,310519.0,90.0,4,70307
47416,10290,1,13,5,1,35,7,1.0,1,1,,130419.0,310519.0,90.0,4,70307
47417,10290,1,13,5,1,35,8,1.0,1,1,,130519.0,310519.0,60.0,4,70307
47418,10290,1,13,5,1,35,9,2.0,1,1,,140519.0,310519.0,145.0,4,70307
47419,10290,1,13,5,1,35,10,1.0,1,1,,140419.0,310519.0,60.0,4,70307
47420,10290,1,13,5,1,35,11,1.0,1,1,,150519.0,310519.0,160.0,4,70307
47421,10290,1,13,5,1,35,12,1.0,1,1,,150419.0,310519.0,80.0,4,70307
47422,10290,1,13,5,1,35,13,1.0,1,1,,160519.0,310519.0,60.0,4,70307
47423,10290,1,13,5,1,35,14,1.0,1,1,,160519.0,310519.0,80.0,4,70307
47424,10310,1,13,11,1,40,1,1.0,1,1,,80619.0,310719.0,130.0,4,128018
47425,10310,1,13,11,1,40,2,1.0,1,1,,80619.0,310719.0,50.0,4,128018
47426,10310,1,13,11,1,40,3,1.0,1,1,,90619.0,310719.0,120.0,4,128018
47427,10310,1,13,11,1,40,4,1.0,1,1,,90619.0,310719.0,80.0,4,128018
47428,10310,1,13,11,1,40,5,1.0,1,1,,100619.0,310719.0,120.0,4,128018
47429,10310,1,13,11,1,40,6,1.0,1,1,,100619.0,310719.0,150.0,4,128018
47430,10310,1,13,11,1,40,7,1.0,1,1,,110619.0,310719.0,70.0,4,128018
47431,10310,1,13,11,1,40,8,1.0,1,1,,110619.0,310719.0,160.0,4,128018
47432,10310,1,13,11,1,40,9,1.0,1,1,,120619.0,310719.0,90.0,4,128018
47433,10310,1,13,11,1,40,10,2.0,1,1,,120619.0,310719.0,160.0,4,128018
