,FSU,Sector,State,District,Stratum,Sub-stratum,Sample HHID,HH Size,Land Own,Monthly HH expenses A,Impute Home grown B,Wages in Kind C,HH durable spent D,Overall monthly expenses,Cooking energy,lighting energy,Washing clothes,Sweeping floor,Dwelling structure,Care giver,NSC,Multiplier
47396,10026,1,13,1,1,33,1,4,6.0,4000.0,1000.0,300.0,10000.0,6133.0,1,2,2,2,2,2.0,4,30086
47397,10026,1,13,1,1,33,2,3,6.0,4000.0,500.0,500.0,15000.0,6250.0,1,1,2,2,1,2.0,4,30086
47398,10026,1,13,1,1,33,3,3,6.0,4000.0,500.0,200.0,8000.0,5367.0,1,1,2,2,1,2.0,4,30086
47399,10026,1,13,1,1,33,4,2,5.0,1500.0,400.0,300.0,3000.0,2450.0,1,1,2,2,1,2.0,4,30086
47400,10026,1,13,1,1,33,5,2,5.0,1500.0,100.0,100.0,1000.0,1783.0,1,1,2,2,1,2.0,4,30086
47401,10026,1,13,1,1,33,6,4,6.0,4000.0,1000.0,500.0,15000.0,6750.0,1,1,2,2,2,2.0,4,30086
47402,10026,1,13,1,1,33,7,5,8.0,7000.0,600.0,200.0,30000.0,10300.0,2,1,2,2,3,2.0,4,30086
47403,10026,1,13,1,1,33,8,4,7.0,6000.0,5000.0,0.0,30000.0,13500.0,2,1,2,2,2,2.0,4,30086
47404,10026,1,13,1,1,33,9,7,7.0,4000.0,1000.0,200.0,15000.0,6450.0,2,1,2,2,2,2.0,4,30086
47405,10026,1,13,1,1,33,10,7,7.0,4000.0,1000.0,0.0,20000.0,6667.0,1,1,2,2,1,2.0,4,30086
47406,10026,1,13,1,1,33,11,1,3.0,500.0,150.0,200.0,2000.0,1017.0,1,1,3,2,1,,4,30086
47407,10026,1,13,1,1,33,12,1,4.0,600.0,50.0,200.0,1000.0,933.0,1,1,2,2,1,,4,30086
47408,10026,1,13,1,1,33,13,3,6.0,4000.0,500.0,300.0,10000.0,5633.0,1,1,2,2,1,2.0,4,30086
47409,10026,1,13,1,1,33,14,3,5.0,2500.0,300.0,0.0,5000.0,3217.0,1,1,2,2,1,2.0,4,30086
47410,10290,1,13,5,1,35,1,5,5.0,6000.0,1000.0,1000.0,40000.0,11333.0,2,1,2,2,2,2.0,4,70307
47411,10290,1,13,5,1,35,2,5,4.0,7000.0,2000.0,,25000.0,11083.0,2,1,2,2,2,2.0,4,70307
47412,10290,1,13,5,1,35,3,3,3.0,4000.0,2500.0,1000.0,20000.0,9167.0,2,1,2,2,2,2.0,4,70307
47413,10290,1,13,5,1,35,4,3,4.0,5000.0,,1500.0,30000.0,9000.0,2,1,2,2,2,2.0,4,70307
47414,10290,1,13,5,1,35,5,4,5.0,7000.0,1000.0,,50000.0,12167.0,2,1,2,2,2,2.0,4,70307
47415,10290,1,13,5,1,35,6,4,5.0,7000.0,2000.0,1000.0,25000.0,12083.0,2,1,2,2,2,2.0,4,70307
47416,10290,1,13,5,1,35,7,5,4.0,9000.0,1000.0,1500.0,60000.0,16500.0,2,1,2,2,2,2.0,4,70307
47417,10290,1,13,5,1,35,8,1,4.0,3000.0,,,40000.0,6333.0,2,1,2,2,2,,4,70307
47418,10290,1,13,5,1,35,9,4,5.0,7000.0,,,50000.0,11167.0,2,1,2,2,2,2.0,4,70307
47419,10290,1,13,5,1,35,10,1,5.0,3500.0,,,45000.0,7250.0,2,1,2,2,2,,4,70307
47420,10290,1,13,5,1,35,11,5,5.0,8000.0,2000.0,2000.0,20000.0,13667.0,2,1,2,2,2,2.0,4,70307
47421,10290,1,13,5,1,35,12,2,5.0,4000.0,1500.0,2000.0,10000.0,8333.0,2,1,2,2,2,2.0,4,70307
47422,10290,1,13,5,1,35,13,2,4.0,4000.0,,1000.0,40000.0,8333.0,2,1,2,2,2,2.0,4,70307
47423,10290,1,13,5,1,35,14,4,1.0,6000.0,,,50000.0,10167.0,2,1,2,2,2,2.0,4,70307
47424,10310,1,13,11,1,40,1,4,6.0,6000.0,500.0,500.0,60000.0,12000.0,2,1,2,2,3,2.0,4,128018
47425,10310,1,13,11,1,40,2,1,2.0,5000.0,500.0,,16000.0,6833.0,1,1,2,2,3,,4,128018
47426,10310,1,13,11,1,40,3,3,5.0,5000.0,,500.0,40000.0,8833.0,2,1,2,2,2,2.0,4,128018
47427,10310,1,13,11,1,40,4,2,5.0,8000.0,,1000.0,60000.0,14000.0,2,1,2,2,3,2.0,4,128018
47428,10310,1,13,11,1,40,5,3,5.0,7000.0,,2000.0,60000.0,14000.0,2,1,2,2,2,2.0,4,128018
47429,10310,1,13,11,1,40,6,6,4.0,9000.0,500.0,500.0,70000.0,15833.0,2,1,2,2,1,2.0,4,128018
47430,10310,1,13,11,1,40,7,2,3.0,4000.0,500.0,500.0,14000.0,6167.0,1,1,2,2,1,2.0,4,128018
47431,10310,1,13,11,1,40,8,4,5.0,7000.0,500.0,500.0,50000.0,12167.0,2,1,2,2,1,2.0,4,128018
47432,10310,1,13,11,1,40,9,4,5.0,7000.0,500.0,500.0,20000.0,9667.0,2,1,2,2,1,2.0,4,128018
47433,10310,1,13,11,1,40,10,4,8.0,9000.0,300.0,700.0,90000.0,17500.0,2,1,1,2,3,2.0,4,128018
47434,10310,1,13,11,1,40,11,1,2.0,3000.0,300.0,200.0,8000.0,4167.0,1,1,2,2,1,,4,128018
47435,10310,1,13,11,1,40,12,2,4.0,8000.0,200.0,200.0,65000.0,13817.0,2,1,2,2,3,2.0,4,128018
47436,10310,1,13,11,1,40,13,4,4.0,7000.0,500.0,500.0,30000.0,10500.0,2,1,2,2,1,2.0,4,128018
47437,10310,1,13,11,1,40,14,3,4.0,6000.0,200.0,200.0,40000.0,9733.0,2,1,2,2,3,2.0,4,128018
47438,10546,1,13,7,1,34,1,2,3.0,4500.0,0.0,0.0,10000.0,5333.0,2,1,2,2,2,2.0,4,41914
47439,10546,1,13,7,1,34,2,2,5.0,4000.0,0.0,0.0,30000.0,6500.0,1,1,2,2,2,2.0,4,41914
47440,10546,1,13,7,1,34,3,3,5.0,5000.0,0.0,0.0,45000.0,8750.0,2,1,2,2,2,2.0,4,41914
47441,10546,1,13,7,1,34,4,5,6.0,7000.0,0.0,500.0,2500.0,7708.0,2,1,2,2,2,2.0,4,41914
47442,10546,1,13,7,1,34,5,3,4.0,5000.0,,,5000.0,5417.0,2,1,2,2,2,2.0,4,41914
47443,10546,1,13,7,1,34,6,3,5.0,4500.0,,,5000.0,4917.0,2,1,2,2,2,2.0,4,41914
47444,10546,1,13,7,1,34,7,3,4.0,4000.0,1000.0,,5000.0,5417.0,2,1,2,2,2,2.0,4,41914
47445,10546,1,13,7,1,34,8,1,4.0,3000.0,,,2000.0,3167.0,2,1,2,2,2,,4,41914
47446,10546,1,13,7,1,34,9,4,5.0,7000.0,,,10000.0,7833.0,2,1,2,2,2,2.0,4,41914
47447,10546,1,13,7,1,34,10,1,3.0,3500.0,,,2000.0,3667.0,2,1,2,2,2,,4,41914
47448,10546,1,13,7,1,34,11,1,4.0,3000.0,,,20000.0,4667.0,2,1,2,2,3,,4,41914
47449,10546,1,13,7,1,34,12,2,4.0,6000.0,,,5000.0,6417.0,2,1,2,2,3,2.0,4,41914
47450,10546,1,13,7,1,34,13,1,3.0,3000.0,,,4000.0,3333.0,2,1,2,2,2,,4,41914
47451,10546,1,13,7,1,34,14,1,3.0,3000.0,,,5000.0,3417.0,2,1,2,2,2,,4,41914
47452,10906,1,13,1,1,36,1,5,5.0,6000.0,1000.0,200.0,35000.0,10117.0,2,1,2,2,2,2.0,4,39161
47453,10906,1,13,1,1,36,2,3,5.0,5000.0,300.0,300.0,70000.0,11433.0,2,1,2,2,2,2.0,4,39161
47454,10906,1,13,1,1,36,3,5,6.0,6500.0,100.0,400.0,60000.0,12000.0,2,1,2,2,3,2.0,4,39161
47455,10906,1,13,1,1,36,4,3,5.0,5000.0,600.0,200.0,50000.0,9967.0,2,1,2,2,1,2.0,4,39161
47456,10906,1,13,1,1,36,5,4,4.0,6000.0,200.0,200.0,75000.0,12650.0,2,1,2,2,1,2.0,4,39161
47457,10906,1,13,1,1,36,6,3,2.0,5000.0,,,40000.0,8333.0,2,1,2,2,1,2.0,4,39161
47458,10906,1,13,1,1,36,7,1,3.0,3000.0,100.0,100.0,20000.0,4867.0,1,1,2,2,1,,4,39161
47459,10906,1,13,1,1,36,8,4,5.0,5000.0,400.0,600.0,40000.0,9333.0,1,1,2,2,1,2.0,4,39161
47460,10906,1,13,1,1,36,9,2,4.0,6000.0,,,50000.0,10167.0,2,1,2,2,3,2.0,4,39161
47461,10906,1,13,1,1,36,10,2,4.0,5000.0,500.0,500.0,30000.0,8500.0,1,1,2,2,1,2.0,4,39161
47462,10906,1,13,1,1,36,11,2,6.0,4500.0,300.0,300.0,30000.0,7600.0,2,1,2,2,2,2.0,4,39161
47463,10906,1,13,1,1,36,12,6,7.0,6000.0,900.0,200.0,60000.0,12100.0,2,1,2,2,2,2.0,4,39161
47464,10906,1,13,1,1,36,13,3,5.0,6000.0,100.0,100.0,30000.0,8700.0,2,1,2,2,1,2.0,4,39161
47465,10906,1,13,1,1,36,14,6,7.0,7500.0,100.0,150.0,50000.0,11917.0,2,1,2,2,2,2.0,4,39161
47466,11117,1,13,10,1,38,1,5,2.0,6000.0,1000.0,1500.0,45000.0,12250.0,2,1,2,2,2,2.0,4,54096
47467,11117,1,13,10,1,38,2,2,2.0,3000.0,1200.0,1000.0,70000.0,11033.0,2,1,2,2,2,2.0,4,54096
47468,11117,1,13,10,1,38,3,4,3.0,6000.0,1500.0,2000.0,40000.0,12833.0,2,1,2,2,2,2.0,4,54096
47469,11117,1,13,10,1,38,4,1,1.0,2500.0,,1000.0,30000.0,6000.0,2,1,2,2,2,,4,54096
47470,11117,1,13,10,1,38,5,3,2.0,3500.0,800.0,500.0,80000.0,11467.0,2,1,2,2,2,2.0,4,54096
47471,11117,1,13,10,1,38,6,4,2.0,4000.0,2000.0,1000.0,25000.0,9083.0,2,1,2,2,2,2.0,4,54096
47472,11117,1,13,10,1,38,7,1,1.0,2000.0,500.0,1000.0,30000.0,6000.0,2,1,2,2,2,,4,54096
47473,11117,1,13,10,1,38,8,2,2.0,4000.0,,1000.0,70000.0,10833.0,2,1,2,2,2,2.0,4,54096
