,FSU,Sector,State,District,Stratum,Sub-stratum,Sample HHID,PersonID,RelationToHead,Gender,Age,MaritalStatus,Education,PrincipleActivity,Industry of work,NSC,Multiplier
195094,10026,1,13,1,1,33,1,1,1.0,1,62,2,1.0,11.0,1.0,4,30086
195095,10026,1,13,1,1,33,1,2,2.0,2,60,2,1.0,21.0,1.0,4,30086
195096,10026,1,13,1,1,33,1,3,5.0,1,24,1,8.0,11.0,31.0,4,30086
195097,10026,1,13,1,1,33,1,4,5.0,1,21,1,8.0,11.0,31.0,4,30086
195098,10026,1,13,1,1,33,2,1,1.0,1,28,2,8.0,11.0,1.0,4,30086
195099,10026,1,13,1,1,33,2,2,2.0,2,24,2,8.0,21.0,1.0,4,30086
195100,10026,1,13,1,1,33,2,3,5.0,2,2,1,1.0,,,4,30086
195101,10026,1,13,1,1,33,3,1,1.0,1,82,2,1.0,92.0,,4,30086
195102,10026,1,13,1,1,33,3,2,2.0,2,80,2,1.0,92.0,,4,30086
195103,10026,1,13,1,1,33,3,3,5.0,1,37,1,8.0,11.0,1.0,4,30086
195104,10026,1,13,1,1,33,4,1,1.0,1,86,2,1.0,94.0,,4,30086
195105,10026,1,13,1,1,33,4,2,2.0,2,84,2,1.0,94.0,,4,30086
195106,10026,1,13,1,1,33,5,1,1.0,1,86,2,1.0,94.0,,4,30086
195107,10026,1,13,1,1,33,5,2,2.0,2,82,2,1.0,94.0,,4,30086
195108,10026,1,13,1,1,33,6,1,1.0,1,39,2,8.0,11.0,1.0,4,30086
195109,10026,1,13,1,1,33,6,2,2.0,2,38,2,8.0,21.0,1.0,4,30086
195110,10026,1,13,1,1,33,6,3,5.0,1,11,1,3.0,91.0,,4,30086
195111,10026,1,13,1,1,33,6,4,5.0,1,9,1,2.0,91.0,,4,30086
195112,10026,1,13,1,1,33,7,1,1.0,1,42,2,11.0,31.0,85.0,4,30086
195113,10026,1,13,1,1,33,7,2,2.0,2,39,2,8.0,11.0,1.0,4,30086
195114,10026,1,13,1,1,33,7,3,5.0,1,5,1,2.0,,,4,30086
195115,10026,1,13,1,1,33,7,4,5.0,1,3,1,1.0,,,4,30086
195116,10026,1,13,1,1,33,7,5,5.0,2,1,1,1.0,,,4,30086
195117,10026,1,13,1,1,33,8,1,1.0,1,38,2,11.0,31.0,85.0,4,30086
195118,10026,1,13,1,1,33,8,2,2.0,2,36,2,6.0,11.0,1.0,4,30086
195119,10026,1,13,1,1,33,8,3,5.0,1,6,1,2.0,91.0,,4,30086
195120,10026,1,13,1,1,33,8,4,5.0,1,4,1,1.0,,,4,30086
195121,10026,1,13,1,1,33,9,1,1.0,1,57,2,7.0,11.0,1.0,4,30086
195122,10026,1,13,1,1,33,9,2,2.0,2,52,2,7.0,21.0,1.0,4,30086
195123,10026,1,13,1,1,33,9,3,5.0,1,15,1,4.0,21.0,1.0,4,30086
195124,10026,1,13,1,1,33,9,4,5.0,1,12,1,3.0,91.0,,4,30086
195125,10026,1,13,1,1,33,9,5,5.0,2,10,1,2.0,91.0,,4,30086
195126,10026,1,13,1,1,33,9,6,7.0,1,92,3,1.0,92.0,,4,30086
195127,10026,1,13,1,1,33,9,7,8.0,1,31,1,4.0,11.0,1.0,4,30086
195128,10026,1,13,1,1,33,10,1,1.0,1,87,2,1.0,93.0,,4,30086
195129,10026,1,13,1,1,33,10,2,2.0,2,79,2,1.0,93.0,,4,30086
195130,10026,1,13,1,1,33,10,3,3.0,1,41,2,3.0,11.0,1.0,4,30086
195131,10026,1,13,1,1,33,10,4,4.0,2,38,2,3.0,21.0,1.0,4,30086
195132,10026,1,13,1,1,33,10,5,6.0,1,5,1,2.0,,,4,30086
195133,10026,1,13,1,1,33,10,6,6.0,1,3,1,1.0,,,4,30086
195134,10026,1,13,1,1,33,10,7,5.0,2,29,1,3.0,11.0,1.0,4,30086
195135,10026,1,13,1,1,33,11,1,1.0,1,88,3,1.0,94.0,,4,30086
195136,10026,1,13,1,1,33,12,1,1.0,1,87,3,1.0,94.0,,4,30086
195137,10026,1,13,1,1,33,13,1,1.0,1,58,2,4.0,11.0,1.0,4,30086
195138,10026,1,13,1,1,33,13,2,2.0,2,55,2,4.0,21.0,1.0,4,30086
195139,10026,1,13,1,1,33,13,3,5.0,1,26,1,4.0,11.0,1.0,4,30086
195140,10026,1,13,1,1,33,14,1,1.0,1,80,2,1.0,11.0,1.0,4,30086
195141,10026,1,13,1,1,33,14,2,2.0,2,76,2,1.0,21.0,1.0,4,30086
195142,10026,1,13,1,1,33,14,3,6.0,1,18,1,4.0,93.0,,4,30086
195143,10290,1,13,5,1,35,1,1,1.0,1,45,2,5.0,11.0,47.0,4,70307
195144,10290,1,13,5,1,35,1,2,2.0,2,40,2,5.0,92.0,,4,70307
195145,10290,1,13,5,1,35,1,3,5.0,2,12,1,3.0,91.0,,4,70307
195146,10290,1,13,5,1,35,1,4,5.0,1,9,1,2.0,91.0,,4,70307
195147,10290,1,13,5,1,35,1,5,5.0,2,5,1,2.0,,,4,70307
195148,10290,1,13,5,1,35,2,1,1.0,1,38,2,5.0,11.0,1.0,4,70307
195149,10290,1,13,5,1,35,2,2,2.0,2,35,2,4.0,92.0,,4,70307
195150,10290,1,13,5,1,35,2,3,5.0,1,5,1,2.0,,,4,70307
195151,10290,1,13,5,1,35,2,4,5.0,1,3,1,1.0,,,4,70307
195152,10290,1,13,5,1,35,2,5,5.0,1,1,1,1.0,,,4,70307
195153,10290,1,13,5,1,35,3,1,1.0,1,35,2,6.0,11.0,47.0,4,70307
195154,10290,1,13,5,1,35,3,2,2.0,2,30,2,5.0,92.0,,4,70307
195155,10290,1,13,5,1,35,3,3,5.0,2,4,1,1.0,,,4,70307
195156,10290,1,13,5,1,35,4,1,1.0,1,50,2,6.0,11.0,47.0,4,70307
195157,10290,1,13,5,1,35,4,2,2.0,2,45,2,6.0,92.0,,4,70307
195158,10290,1,13,5,1,35,4,3,5.0,1,20,1,5.0,92.0,,4,70307
195159,10290,1,13,5,1,35,5,1,1.0,1,47,2,5.0,31.0,82.0,4,70307
195160,10290,1,13,5,1,35,5,2,2.0,2,38,2,6.0,92.0,,4,70307
195161,10290,1,13,5,1,35,5,3,5.0,1,5,1,2.0,,,4,70307
195162,10290,1,13,5,1,35,5,4,5.0,2,3,1,1.0,,,4,70307
195163,10290,1,13,5,1,35,6,1,1.0,1,40,2,4.0,11.0,1.0,4,70307
195164,10290,1,13,5,1,35,6,2,2.0,2,35,2,5.0,21.0,1.0,4,70307
195165,10290,1,13,5,1,35,6,3,5.0,1,8,1,2.0,91.0,,4,70307
195166,10290,1,13,5,1,35,6,4,5.0,1,5,1,2.0,,,4,70307
195167,10290,1,13,5,1,35,7,1,1.0,1,40,2,11.0,31.0,85.0,4,70307
195168,10290,1,13,5,1,35,7,2,2.0,2,35,2,6.0,92.0,,4,70307
195169,10290,1,13,5,1,35,7,3,5.0,1,8,1,2.0,91.0,,4,70307
195170,10290,1,13,5,1,35,7,4,5.0,1,5,1,2.0,,,4,70307
195171,10290,1,13,5,1,35,7,5,5.0,2,2,1,1.0,,,4,70307
195172,10290,1,13,5,1,35,8,1,1.0,1,35,1,5.0,31.0,84.0,4,70307
195173,10290,1,13,5,1,35,9,1,1.0,1,65,2,5.0,94.0,,4,70307
195174,10290,1,13,5,1,35,9,2,2.0,2,60,2,5.0,92.0,,4,70307
195175,10290,1,13,5,1,35,9,3,5.0,1,30,1,11.0,81.0,,4,70307
195176,10290,1,13,5,1,35,9,4,5.0,1,25,1,11.0,81.0,,4,70307
195177,10290,1,13,5,1,35,10,1,1.0,1,40,4,6.0,11.0,47.0,4,70307
195178,10290,1,13,5,1,35,11,1,1.0,1,38,2,5.0,11.0,1.0,4,70307
195179,10290,1,13,5,1,35,11,2,2.0,2,33,2,5.0,21.0,1.0,4,70307
195180,10290,1,13,5,1,35,11,3,5.0,2,8,1,2.0,91.0,,4,70307
195181,10290,1,13,5,1,35,11,4,5.0,2,5,1,2.0,,,4,70307
195182,10290,1,13,5,1,35,11,5,5.0,1,3,1,1.0,,,4,70307
195183,10290,1,13,5,1,35,12,1,1.0,1,55,2,5.0,11.0,1.0,4,70307
195184,10290,1,13,5,1,35,12,2,2.0,2,50,2,4.0,21.0,1.0,4,70307
195185,10290,1,13,5,1,35,13,1,1.0,1,70,2,8.0,94.0,,4,70307
195186,10290,1,13,5,1,35,13,2,2.0,2,65,2,6.0,92.0,,4,70307
195187,10290,1,13,5,1,35,14,1,1.0,1,38,2,11.0,31.0,85.0,4,70307
195188,10290,1,13,5,1,35,14,2,2.0,2,30,2,6.0,92.0,,4,70307
195189,10290,1,13,5,1,35,14,3,5.0,1,5,1,2.0,,,4,70307
195190,10290,1,13,5,1,35,14,4,5.0,1,2,1,1.0,,,4,70307
195191,10310,1,13,11,1,40,1,1,1.0,1,37,2,11.0,31.0,82.0,4,128018
195192,10310,1,13,11,1,40,1,2,2.0,2,38,2,11.0,93.0,,4,128018
195193,10310,1,13,11,1,40,1,3,9.0,2,16,1,2.0,93.0,,4,128018
195194,10310,1,13,11,1,40,1,4,5.0,2,5,1,2.0,,,4,128018
195195,10310,1,13,11,1,40,2,1,1.0,2,30,2,2.0,11.0,1.0,4,128018
195196,10310,1,13,11,1,40,3,1,1.0,1,63,3,11.0,11.0,1.0,4,128018
