,FSU,Sector,State,District,Stratum,Sub-stratum,Sample HHID,PersonID,Day of the week,Type of the day,Response code,NSC,Multiplier
162439,10026,1,13,1,1,33,1,1,4.0,1.0,1.0,4,30086
162440,10026,1,13,1,1,33,1,2,4.0,1.0,1.0,4,30086
162441,10026,1,13,1,1,33,1,3,4.0,1.0,1.0,4,30086
162442,10026,1,13,1,1,33,1,4,4.0,1.0,1.0,4,30086
162443,10026,1,13,1,1,33,2,1,2.0,1.0,1.0,4,30086
162444,10026,1,13,1,1,33,2,2,2.0,1.0,1.0,4,30086
162445,10026,1,13,1,1,33,3,1,3.0,1.0,1.0,4,30086
162446,10026,1,13,1,1,33,3,2,3.0,1.0,1.0,4,30086
162447,10026,1,13,1,1,33,3,3,3.0,1.0,1.0,4,30086
162448,10026,1,13,1,1,33,4,1,6.0,1.0,1.0,4,30086
162449,10026,1,13,1,1,33,4,2,6.0,1.0,1.0,4,30086
162450,10026,1,13,1,1,33,5,1,3.0,1.0,1.0,4,30086
162451,10026,1,13,1,1,33,5,2,3.0,1.0,1.0,4,30086
162452,10026,1,13,1,1,33,6,1,7.0,2.0,1.0,4,30086
162453,10026,1,13,1,1,33,6,2,7.0,2.0,1.0,4,30086
162454,10026,1,13,1,1,33,6,3,7.0,2.0,1.0,4,30086
162455,10026,1,13,1,1,33,6,4,7.0,2.0,1.0,4,30086
162456,10026,1,13,1,1,33,7,1,5.0,1.0,1.0,4,30086
162457,10026,1,13,1,1,33,7,2,5.0,1.0,1.0,4,30086
162458,10026,1,13,1,1,33,8,1,7.0,2.0,1.0,4,30086
162459,10026,1,13,1,1,33,8,2,7.0,2.0,1.0,4,30086
162460,10026,1,13,1,1,33,8,3,7.0,2.0,1.0,4,30086
162461,10026,1,13,1,1,33,9,1,1.0,1.0,1.0,4,30086
162462,10026,1,13,1,1,33,9,2,1.0,1.0,1.0,4,30086
162463,10026,1,13,1,1,33,9,3,1.0,1.0,1.0,4,30086
162464,10026,1,13,1,1,33,9,4,1.0,1.0,1.0,4,30086
162465,10026,1,13,1,1,33,9,5,1.0,1.0,1.0,4,30086
162466,10026,1,13,1,1,33,9,6,1.0,1.0,1.0,4,30086
162467,10026,1,13,1,1,33,9,7,1.0,1.0,1.0,4,30086
162468,10026,1,13,1,1,33,10,1,1.0,1.0,1.0,4,30086
162469,10026,1,13,1,1,33,10,2,1.0,1.0,1.0,4,30086
162470,10026,1,13,1,1,33,10,3,1.0,1.0,1.0,4,30086
162471,10026,1,13,1,1,33,10,4,1.0,1.0,1.0,4,30086
162472,10026,1,13,1,1,33,10,7,1.0,1.0,1.0,4,30086
162473,10026,1,13,1,1,33,11,1,6.0,1.0,1.0,4,30086
162474,10026,1,13,1,1,33,12,1,4.0,1.0,1.0,4,30086
162475,10026,1,13,1,1,33,13,1,2.0,1.0,1.0,4,30086
162476,10026,1,13,1,1,33,13,2,2.0,1.0,1.0,4,30086
162477,10026,1,13,1,1,33,13,3,2.0,1.0,1.0,4,30086
162478,10026,1,13,1,1,33,14,1,5.0,1.0,1.0,4,30086
162479,10026,1,13,1,1,33,14,2,5.0,1.0,1.0,4,30086
162480,10026,1,13,1,1,33,14,3,5.0,1.0,1.0,4,30086
162481,10290,1,13,5,1,35,1,1,2.0,1.0,1.0,4,70307
