,FSU,Sector,State,District,Stratum,Sub-stratum,Sample HHID,PersonID,Serial no of activity,Time from,Time to,MultiActivity,SimulActivity,MajorActivity,Activity category,Activity group,Activity code,Where,Paid-unpaid,Type of enterprise,NSC,Multiplier
3159035,10026,1,13,1,1,33,1,1,1,04:00,06:00,2.0,,1,9,91,911,1,1,,,4     3008
3159036,10026,1,13,1,1,33,1,1,2,06:00,06:30,2.0,,1,9,93,931,1,1,,,4     3008
3159037,10026,1,13,1,1,33,1,1,3,06:30,07:30,2.0,,1,9,92,921,1,1,,,4     3008
3159038,10026,1,13,1,1,33,1,1,4,07:30,08:30,2.0,,1,7,71,711,1,1,,,4     3008
3159039,10026,1,13,1,1,33,1,1,5,08:30,09:00,2.0,,1,2,25,250,2,4,,,4     3008
3159040,10026,1,13,1,1,33,1,1,6,09:00,13:30,2.0,,1,2,23,230,2,4,,,4     3008
3159041,10026,1,13,1,1,33,1,1,7,13:30,14:00,1.0,1.0,1,9,92,922,2,1,,,4     3008
3159042,10026,1,13,1,1,33,1,1,8,13:30,14:00,,,2,2,25,250,2,4,,,4     3008
3159043,10026,1,13,1,1,33,1,1,9,14:00,14:30,2.0,,1,9,93,931,2,1,,,4     3008
3159044,10026,1,13,1,1,33,1,1,10,14:30,16:00,2.0,,1,3,31,314,1,3,,,4     3008
3159045,10026,1,13,1,1,33,1,1,11,16:00,18:00,2.0,,1,8,85,850,1,1,,,4     3008
3159046,10026,1,13,1,1,33,1,1,12,18:00,19:00,2.0,,1,9,92,921,1,1,,,4     3008
3159047,10026,1,13,1,1,33,1,1,13,19:00,20:00,2.0,,1,7,71,711,1,1,,,4     3008
3159048,10026,1,13,1,1,33,1,1,14,20:00,21:30,2.0,,1,9,92,922,1,1,,,4     3008
3159049,10026,1,13,1,1,33,1,1,15,21:30,04:00,2.0,,1,9,91,911,1,1,,,4     3008
3159050,10026,1,13,1,1,33,1,2,1,04:00,05:30,2.0,,1,9,91,911,1,1,,,4     3008
3159051,10026,1,13,1,1,33,1,2,2,05:30,06:00,2.0,,1,9,93,931,1,1,,,4     3008
3159052,10026,1,13,1,1,33,1,2,3,06:00,07:30,2.0,,1,3,31,311,1,3,,,4     3008
3159053,10026,1,13,1,1,33,1,2,4,07:30,08:00,2.0,,1,9,92,921,1,1,,,4     3008
3159054,10026,1,13,1,1,33,1,2,5,08:00,08:30,2.0,,1,7,71,711,1,1,,,4     3008
3159055,10026,1,13,1,1,33,1,2,6,08:30,09:00,2.0,,1,2,25,250,2,4,,,4     3008
3159056,10026,1,13,1,1,33,1,2,7,09:00,13:30,2.0,,1,2,21,211,2,4,,,4     3008
3159057,10026,1,13,1,1,33,1,2,8,13:30,14:00,2.0,,1,9,92,922,2,1,,,4     3008
3159058,10026,1,13,1,1,33,1,2,9,14:00,14:30,2.0,,1,2,25,250,2,4,,,4     3008
3159059,10026,1,13,1,1,33,1,2,10,14:30,15:00,2.0,,1,9,93,931,1,1,,,4     3008
3159060,10026,1,13,1,1,33,1,2,11,15:00,17:00,2.0,,1,3,31,311,1,3,,,4     3008
3159061,10026,1,13,1,1,33,1,2,12,17:00,17:30,2.0,,1,9,92,921,1,1,,,4     3008
3159062,10026,1,13,1,1,33,1,2,13,17:30,19:30,2.0,,1,7,71,711,1,1,,,4     3008
3159063,10026,1,13,1,1,33,1,2,14,19:30,20:00,2.0,,1,9,92,922,1,1,,,4     3008
3159064,10026,1,13,1,1,33,1,2,15,20:00,04:00,2.0,,1,9,91,911,1,1,,,4     3008
3159065,10026,1,13,1,1,33,1,3,1,04:00,07:30,2.0,,1,9,91,911,1,1,,,4     3008
3159066,10026,1,13,1,1,33,1,3,2,07:30,08:00,1.0,1.0,1,9,93,931,1,1,,,4     3008
3159067,10026,1,13,1,1,33,1,3,3,07:30,08:00,,,2,9,92,921,1,1,,,4     3008
3159068,10026,1,13,1,1,33,1,3,4,08:00,08:30,2.0,,1,9,93,939,1,1,,,4     3008
3159069,10026,1,13,1,1,33,1,3,5,08:30,10:00,2.0,,1,3,38,380,2,3,,,4     3008
3159070,10026,1,13,1,1,33,1,3,6,10:00,15:00,2.0,,1,3,37,371,3,3,,,4     3008
3159071,10026,1,13,1,1,33,1,3,7,15:00,16:30,2.0,,1,3,38,380,2,3,,,4     3008
3159072,10026,1,13,1,1,33,1,3,8,16:30,17:30,2.0,,1,8,85,850,1,1,,,4     3008
3159073,10026,1,13,1,1,33,1,3,9,17:30,18:00,2.0,,1,9,93,931,1,1,,,4     3008
3159074,10026,1,13,1,1,33,1,3,10,18:00,19:00,2.0,,1,9,92,921,1,1,,,4     3008
3159075,10026,1,13,1,1,33,1,3,11,19:00,22:00,2.0,,1,7,71,711,1,1,,,4     3008
3159076,10026,1,13,1,1,33,1,3,12,22:00,04:00,2.0,,1,9,91,911,1,1,,,4     3008
3159077,10026,1,13,1,1,33,1,4,1,04:00,07:00,2.0,,1,9,91,911,1,1,,,4     3008
3159078,10026,1,13,1,1,33,1,4,2,07:00,07:30,2.0,,1,9,93,931,1,1,,,4     3008
3159079,10026,1,13,1,1,33,1,4,3,07:30,08:00,2.0,,1,9,92,921,1,1,,,4     3008
3159080,10026,1,13,1,1,33,1,4,4,08:00,10:00,2.0,,1,7,71,711,1,1,,,4     3008
3159081,10026,1,13,1,1,33,1,4,5,10:00,10:30,1.0,1.0,1,8,82,823,3,1,,,4     3008
3159082,10026,1,13,1,1,33,1,4,6,10:00,10:30,,,2,7,71,711,2,1,,,4     3008
3159083,10026,1,13,1,1,33,1,4,7,10:30,12:00,2.0,,1,3,31,314,1,3,,,4     3008
3159084,10026,1,13,1,1,33,1,4,8,12:00,14:30,2.0,,1,2,24,242,3,4,,,4     3008
3159085,10026,1,13,1,1,33,1,4,9,14:30,16:30,2.0,,1,8,85,850,1,1,,,4     3008
3159086,10026,1,13,1,1,33,1,4,10,16:30,18:30,2.0,,1,7,71,711,1,1,,,4     3008
3159087,10026,1,13,1,1,33,1,4,11,18:30,19:00,2.0,,1,9,92,921,1,1,,,4     3008
